Date,Close,High,Low,Open,Volume,ticker

2015-01-01,308.073486328125,309.77133453476597,298.52313687707635,300.85766738167536,2460188,BHARTIARTL.NS
2015-01-02,309.8987731933594,311.5541649305102,307.3095574655667,308.83760695440924,2795887,BHARTIARTL.NS
2015-01-05,303.0224914550781,310.9174808464422,301.87646871701355,310.9174808464422,1605267,BHARTIARTL.NS
2015-01-06,300.6455078125,302.3008994081074,295.7641895233898,302.3008994081074,3916948,BHARTIARTL.NS
2015-01-07,301.3670349121094,303.9138218266798,297.54691203109815,298.77781975439683,4899318,BHARTIARTL.NS
2015-01-08,306.587890625,308.1159396199529,299.79649787983317,302.6828541692387,7096620,BHARTIARTL.NS
2015-01-09,302.0462341308594,309.77142414678764,300.475727678571,307.7340057094252,3831782,BHARTIARTL.NS
2015-01-12,296.23114013671875,301.96136909585096,294.6606335792995,301.96136909585096,2276975,BHARTIARTL.NS
2015-01-13,293.9814453125,299.07499090236047,292.2836255279716,297.0375726664163,1604173,BHARTIARTL.NS
2015-01-14,293.5570373535156,295.59445591557187,292.5807850720665,294.5333183803944,3415213,BHARTIARTL.NS
2015-01-15,296.5706787109375,299.3296935189473,291.43470456228397,293.8116926483545,4966049,BHARTIARTL.NS
2015-01-16,291.0527038574219,298.82032175519777,287.869234107384,294.57571458543157,9779165,BHARTIARTL.NS
2015-01-19,297.5044250488281,299.07493103146214,290.246149188536,291.94399737860243,3385131,BHARTIARTL.NS
2015-01-20,301.2821960449219,303.0649299122139,295.46708247867355,297.5045008257007,2891041,BHARTIARTL.NS
2015-01-21,313.2519836425781,314.1008935560334,300.9426174249223,301.3670723816499,5052826,BHARTIARTL.NS
2015-01-22,314.10089111328125,317.4541312380327,306.5879579504379,316.9447910430058,2502844,BHARTIARTL.NS
2015-01-23,326.0706481933594,329.16920347414276,315.79870158137436,316.605183142864,6269436,BHARTIARTL.NS
2015-01-27,334.644775390625,335.3239147910924,323.9483729514,324.8821968133989,5268554,BHARTIARTL.NS
2015-01-28,317.1570129394531,335.91817451056016,315.45916441019403,334.220325981301,4490563,BHARTIARTL.NS
2015-01-29,319.0246276855469,323.01455011691655,308.2008829811257,318.1757178049745,7542171,BHARTIARTL.NS
2015-01-30,317.241943359375,323.2692849375562,310.8326037735991,323.2692849375562,5409140,BHARTIARTL.NS
2015-02-02,305.0174560546875,316.9447956444366,302.64046803739313,314.1008956734241,4157252,BHARTIARTL.NS
2015-02-03,315.416748046875,317.4965946076896,305.6965971892416,305.739025438181,4242370,BHARTIARTL.NS
2015-02-04,313.2095031738281,320.2980096525172,309.85626327432243,318.3454767543154,5535031,BHARTIARTL.NS
2015-02-05,309.6015930175781,315.71381838722385,305.6540991614412,314.10085525383647,8259274,BHARTIARTL.NS
2015-02-06,312.61529541015625,314.1008877311532,304.7627638746142,309.7713955110538,3318996,BHARTIARTL.NS
2015-02-09,302.3008728027344,310.45051657153056,299.8814567409651,309.8562624310128,3030260,BHARTIARTL.NS
2015-02-10,302.3433532714844,307.13975752236155,299.6692238042092,301.6217568487191,6847286,BHARTIARTL.NS
2015-02-11,302.3008728027344,306.16345285254084,295.4246225506409,303.0224404240412,3489433,BHARTIARTL.NS
2015-02-12,299.4145812988281,305.4843506878923,296.5282529711655,304.76278297869015,4361948,BHARTIARTL.NS
2015-02-13,301.3670349121094,302.64042836939456,296.5282030143544,300.34832589536563,3377769,BHARTIARTL.NS
2015-02-16,306.75775146484375,310.2383340860286,298.8203340072112,299.66924397780025,2355833,BHARTIARTL.NS
2015-02-18,298.8202819824219,308.62531691554443,297.5469172482319,308.2008620041478,3408770,BHARTIARTL.NS
2015-02-19,302.81024169921875,304.2534058242139,297.29226967583304,301.3246493250752,3057263,BHARTIARTL.NS
2015-02-20,296.5706787109375,304.5929811628205,295.63688352190843,301.36708313300954,4072136,BHARTIARTL.NS
2015-02-23,294.8304138183594,297.8865127364526,293.04767986766234,295.42466805040107,2410807,BHARTIARTL.NS
2015-02-24,290.37353515625,296.99510097727267,288.71814370099435,293.81166029338465,7390936,BHARTIARTL.NS
2015-02-25,295.9339904785156,297.5469538346604,292.5807502734907,294.49082635506164,2882686,BHARTIARTL.NS
2015-02-26,296.5706787109375,299.3296935189473,293.93903488900094,297.1224759234541,4571845,BHARTIARTL.NS
2015-02-27,301.5368347167969,303.99870765910345,294.87278347894096,296.2735191592648,3711112,BHARTIARTL.NS
2015-03-02,296.3160095214844,308.15843492794613,293.30233911443776,302.4706638250169,4619840,BHARTIARTL.NS
2015-03-03,296.4857177734375,297.63176890124384,291.77419979949525,297.12240006869905,2293482,BHARTIARTL.NS
2015-03-04,298.1836242675781,304.25339324229674,296.5282327290185,298.8203066873106,3694564,BHARTIARTL.NS
2015-03-05,295.3397216796875,298.73541871134745,292.0713956253177,298.31096376874615,3879220,BHARTIARTL.NS
2015-03-09,291.5620422363281,294.36348525039114,287.86923229712806,294.36348525039114,3823862,BHARTIARTL.NS
2015-03-10,312.3606262207031,324.54265057218583,289.2699711720154,290.37356559119024,12896222,BHARTIARTL.NS
2015-03-11,330.69732666015625,334.47502180009303,307.5217581263299,314.100896248277,14318713,BHARTIARTL.NS
2015-03-12,337.7008972167969,339.4836309277601,328.57500119595414,330.6123906188949,18411651,BHARTIARTL.NS
2015-03-13,339.7807922363281,341.8606676935915,330.5700096605687,338.67719775695207,12653947,BHARTIARTL.NS
2015-03-16,329.7210998535156,339.4837092707906,327.853480474234,339.4837092707906,15605904,BHARTIARTL.NS
2015-03-17,328.1505432128906,333.11674679395907,321.741204248012,332.9469763060143,13158523,BHARTIARTL.NS
2015-03-18,324.5002136230469,331.3340367904906,323.8635311292903,327.59876958717626,4777244,BHARTIARTL.NS
2015-03-19,324.2455139160156,326.79230126242106,322.3778947746884,325.1368808636294,4636137,BHARTIARTL.NS
