Date,Close,High,Low,Open,Volume,ticker

2015-01-01,296.3741760253906,297.2687537415625,292.4638237426572,294.93545747040963,1336492,HCLTECH.NS
2015-01-02,296.0882873535156,298.6152427058329,295.1291566032883,295.49805650966243,933372,HCLTECH.NS
2015-01-05,291.1081848144531,297.8867216697873,289.34667847563173,297.8867216697873,2012624,HCLTECH.NS
2015-01-06,283.3336181640625,290.3980616135805,280.8527748659538,290.3242771162225,3470408,HCLTECH.NS
2015-01-07,276.6011047363281,285.52848566467475,275.32839574279035,283.960661292485,3540560,HCLTECH.NS
2015-01-08,283.0015869140625,284.052942695616,275.7526943700948,279.8105935514607,3906036,HCLTECH.NS
2015-01-09,285.0766906738281,292.1042307803605,280.8988939026798,283.4350812618256,6164448,HCLTECH.NS
2015-01-12,290.6101379394531,291.2464812829659,284.182038943411,286.83812281990527,2661684,HCLTECH.NS
2015-01-13,292.0949401855469,294.1884426426021,288.3598286485763,290.6101315778988,2916072,HCLTECH.NS
2015-01-14,291.2096862792969,294.898686498108,285.95286096749106,294.3637769632063,4133276,HCLTECH.NS
2015-01-15,293.87493896484375,298.5230695862477,286.3493705611859,294.1884949333848,3658976,HCLTECH.NS
2015-01-16,302.3135070800781,303.254197443353,290.61016524796753,294.01325825847744,3185348,HCLTECH.NS
2015-01-19,303.3556213378906,319.09842040802727,302.4610435641969,304.3424240885809,3335832,HCLTECH.NS
2015-01-20,308.4281005859375,309.7376912041265,304.2871841926675,306.6481534178117,3099268,HCLTECH.NS
2015-01-21,311.2132873535156,312.08942492348405,302.68247417224427,306.4083554634458,7541032,HCLTECH.NS
2015-01-22,307.23822021484375,312.2829434981077,305.6335149303642,311.3514624034126,3769104,HCLTECH.NS
2015-01-23,303.7245788574219,307.8285911122314,300.89327602974936,306.75877216979904,4683076,HCLTECH.NS
2015-01-27,298.13568115234375,304.1395362118875,296.5125350530096,304.1395362118875,4461772,HCLTECH.NS
2015-01-28,306.0763244628906,307.24757742129594,296.96449025861415,296.96449025861415,4173388,HCLTECH.NS
2015-01-29,304.1487121582031,306.6848987715101,296.76150575041487,305.8179930809424,4751440,HCLTECH.NS
2015-01-30,330.48822021484375,335.6989316539783,323.3684561675532,333.8544320295059,21415344,HCLTECH.NS
2015-02-02,348.79486083984375,350.4549104154961,331.65024672875734,332.00991513047,10089756,HCLTECH.NS
2015-02-03,350.50103759765625,353.22167451625404,345.1058762506064,352.29942471333953,8442272,HCLTECH.NS
2015-02-04,352.0014343261719,353.788906359572,349.26004694300525,351.9366084205167,4939900,HCLTECH.NS
2015-02-05,365.3935546875,366.91242994153566,349.51934790404215,351.9366057405256,8494896,HCLTECH.NS
2015-02-06,362.0686950683594,369.9039249568879,360.32755296962904,364.90272016277873,4023848,HCLTECH.NS
2015-02-09,369.40380859375,372.2192925810412,357.73433089650905,359.53105095785065,4670508,HCLTECH.NS
2015-02-10,358.11407470703125,368.20910008680926,356.56741020316764,367.68119961209754,5786408,HCLTECH.NS
2015-02-11,362.2539367675781,364.34704270195283,355.86350820976554,359.2902597552593,2142516,HCLTECH.NS
2015-02-12,367.5700378417969,368.60732025094416,361.0128980749197,361.19812788409104,4365376,HCLTECH.NS
2015-02-13,369.1535949707031,371.2003926070941,366.1621528097419,368.6071762914757,3286008,HCLTECH.NS
2015-02-16,367.6532897949219,371.9413633215623,366.86606330382796,369.54264694018036,3024868,HCLTECH.NS
2015-02-18,376.59991455078125,377.8687339636932,368.15344149027464,368.89436057647794,6327804,HCLTECH.NS
2015-02-19,379.37835693359375,380.59162104058385,374.1641567001088,376.01645450555486,4136952,HCLTECH.NS
2015-02-20,370.5984802246094,380.6471957323865,369.7371572303028,379.7210468376605,2668572,HCLTECH.NS
2015-02-23,365.0879211425781,375.5904413365028,362.7632782014833,370.45958512691845,2666340,HCLTECH.NS
2015-02-24,366.02337646484375,370.2373546581154,362.244683804489,365.0879568764184,3643048,HCLTECH.NS
2015-02-25,367.3478088378906,369.2742036918784,365.2362067553734,368.51476587175694,2276348,HCLTECH.NS
2015-02-26,365.91217041015625,371.94140896747336,363.9672576640614,367.3106643339142,4156644,HCLTECH.NS
2015-02-27,374.53466796875,375.2107612832894,365.91221144957547,368.4220843668861,4808820,HCLTECH.NS
2015-03-02,375.0625915527344,378.03553916890655,370.52446102265253,378.03553916890655,4098336,HCLTECH.NS
2015-03-03,376.2388000488281,378.7764621407595,367.69046197400417,376.20176312938,4306688,HCLTECH.NS
2015-03-04,377.1278991699219,380.0359981888411,374.1642221626926,377.3131289828737,3430308,HCLTECH.NS
2015-03-05,382.49957275390625,384.3333298564679,377.11863751650293,377.12790805179327,3448716,HCLTECH.NS
2015-03-09,382.62921142578125,384.3333166420559,372.49714981148446,380.971413662243,6555768,HCLTECH.NS
2015-03-10,378.6375427246094,383.2404992494481,375.64607659636573,380.6472817581517,5425488,HCLTECH.NS
2015-03-11,381.3974609375,392.1129786389871,377.0445602699653,381.5734202179332,10074260,HCLTECH.NS
2015-03-12,380.2211608886719,385.148291132348,378.28551872941136,382.49949623025316,4880440,HCLTECH.NS
2015-03-13,372.7934875488281,381.38815471244726,366.9495009789034,381.3511177972098,6368968,HCLTECH.NS
2015-03-16,381.0177001953125,382.6847684022925,373.0528187619637,374.164197566617,7937836,HCLTECH.NS
2015-03-17,377.7019958496094,383.2218290835653,376.5720988455253,382.8328737241718,10007444,HCLTECH.NS
2015-03-18,371.6728210449219,380.2304277660783,369.54267859245084,377.8687480905126,18927840,HCLTECH.NS
